source_case_id,source_language,target_language,source_path,translation_path,source_sha256,translation_sha256,translation_id,status,failed_checks,provider,api_version,model,project_id,location,created_at,input_codepoints,output_codepoints
EN100123,en,de,EN100123.source.en.txt,EN100123.translation.de.txt,931db3011afd31376eb81a77761b9cd9651cb69165fb015022cdfd3aaf1e310e,1c2c87bc6d1549586e609800f9061fb7384fea60789141737b2d082767a51de8,e3c-de-full-246-google-tllm-v1-EN100123-1c2c87bc6d15,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3608,4195
EN100129,en,de,EN100129.source.en.txt,EN100129.translation.de.txt,4b79a76deb3d80ba36f0f0a6a739cf51062a5b778ea034b434a7f8713761e0b8,a5695ba442f7c19cd5b9c1e6e1b9590183e6207e4fff586b8e8856d16f0ea358,e3c-de-full-246-google-tllm-v1-EN100129-a5695ba442f7,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3405,3900
EN100156,en,de,EN100156.source.en.txt,EN100156.translation.de.txt,0b19fca1121f6b521fa023a09710eac0d1f63514f04b9729cb2688b369494959,e6191031ef80d07304bf0f471020b4bb82f24f06da9415023b2ef04db58af3b5,e3c-de-full-246-google-tllm-v1-EN100156-e6191031ef80,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3147,3410
EN100184,en,de,EN100184.source.en.txt,EN100184.translation.de.txt,ed7780fbe229d244daac98e2749a67142ff1b0b85023fbc9b226dea2ee545c22,6b9f99e36a6f7800c71b5a71c524d2e0a82433906919ad83f1d1a1136d4f3d6f,e3c-de-full-246-google-tllm-v1-EN100184-6b9f99e36a6f,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2473,2856
EN100247,en,de,EN100247.source.en.txt,EN100247.translation.de.txt,b2e1a55ab07b61a2b32837eb00b490f844669e9f4b47dea595e94ddd0853d153,b0e8eee4bd25bc9cebaa6211668d22c92c727bb781aab301216f390e76c603df,e3c-de-full-246-google-tllm-v1-EN100247-b0e8eee4bd25,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1963,2290
EN100265,en,de,EN100265.source.en.txt,EN100265.translation.de.txt,ca8527104ba8aff275d68c32ee4170b1dc66051fba937d27b9a87dcde062ae2d,af5d6f5049f7d7a93173a1a099ea863f002a227039e25eb3d45665b07cd93d81,e3c-de-full-246-google-tllm-v1-EN100265-af5d6f5049f7,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3392,4428
EN100275,en,de,EN100275.source.en.txt,EN100275.translation.de.txt,f89b81bc0c8f4eeb2e4e4a762b990d21e0ff1c20928ffd977e5a40bad593ae7a,2eaed3b2bda247f3ab5ecab27ec4fb650e791c5a267211625f562a490a29c383,e3c-de-full-246-google-tllm-v1-EN100275-2eaed3b2bda2,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2843,3063
EN100310,en,de,EN100310.source.en.txt,EN100310.translation.de.txt,4a97383773d5c0292ab721c81187e226f45e2fccde548074a80ba624d93bd3a0,8fe2180baebcc6f2da7276bc8523f210730758034f5bc982dba1bef08cf5ab84,e3c-de-full-246-google-tllm-v1-EN100310-8fe2180baebc,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2255,2655
EN100315,en,de,EN100315.source.en.txt,EN100315.translation.de.txt,10b3e924419626d46371ba88d403b595d898d8e2130ec9a5b7dfb324d916ffa7,0350e93f8ed3e59e61ae15ff4182a2fac4cfba80684c87abc8d830f505dbf207,e3c-de-full-246-google-tllm-v1-EN100315-0350e93f8ed3,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1673,1798
EN100339,en,de,EN100339.source.en.txt,EN100339.translation.de.txt,c8c3897bfb45c6f3e9786992180c3c0c1e979753a1901ee28033e41d17fe4564,39dcd5a1640a704517363cf039fc9ca3c1b65e24efe47c3a2ba709c6cddc3d53,e3c-de-full-246-google-tllm-v1-EN100339-39dcd5a1640a,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2097,2410
EN100340,en,de,EN100340.source.en.txt,EN100340.translation.de.txt,0f1e8e05be3eaf48d21b8bd0eb9a03adc093247e3e7dbc57c1ce362878f84379,d951f06ad4579068f34c25e8dcd0255e88f277f713259fa10a336a13bc626f52,e3c-de-full-246-google-tllm-v1-EN100340-d951f06ad457,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2099,2590
EN100345,en,de,EN100345.source.en.txt,EN100345.translation.de.txt,f33e462f2a83e113b58054769ae12c1dcaf0a48b7fdcc83278c4f08d28dbba50,a585f5b2f9477a93ace36b946d230e2ab235e234d12a5a7e6901e0277a52d1de,e3c-de-full-246-google-tllm-v1-EN100345-a585f5b2f947,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1422,1682
EN100372,en,de,EN100372.source.en.txt,EN100372.translation.de.txt,e02897fa491ec55556b601a3549b96a4a9ab0efe804c365dde60178905701653,2819b3fcd5f31fc6393981f4ccd9c696e3744c29bba340a1cb977badcca7ca9f,e3c-de-full-246-google-tllm-v1-EN100372-2819b3fcd5f3,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3941,4375
EN100376,en,de,EN100376.source.en.txt,EN100376.translation.de.txt,acb5f8e284777e9a340ce03dbd53bc3a1bf288943f34ea7aa6536d006b05df25,92921a015db991448f89e7076e0f3af5ce0dd2061fd104a7c44c721eb253db91,e3c-de-full-246-google-tllm-v1-EN100376-92921a015db9,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3372,3892
EN100383,en,de,EN100383.source.en.txt,EN100383.translation.de.txt,8582650872b4d60a83f7348f6e74af89bd0ac8ff88faf3fb74a7b53f75e25b10,70b61e794af1e1acee7a09a08acbf01289fe2eda6d0254a091366bfb82a77a19,e3c-de-full-246-google-tllm-v1-EN100383-70b61e794af1,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3061,3594
EN100385,en,de,EN100385.source.en.txt,EN100385.translation.de.txt,72e1365523a9735d96fbc5c6378e1457bf8838ae3b3167c81f6c1b4e2a4cb24c,380dfabf2caeb3735487bd166897ff8b39b00ca5638c73e383931ed71da7447b,e3c-de-full-246-google-tllm-v1-EN100385-380dfabf2cae,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1910,2174
EN100399,en,de,EN100399.source.en.txt,EN100399.translation.de.txt,265eaa0616c02aeee09f936f1d2baa0b6f2db0dc560c8133dc7a9e477de128f0,b340424b1f161d621ab0880e9245d07d53627841ae96e5f1407ea859e7b131a0,e3c-de-full-246-google-tllm-v1-EN100399-b340424b1f16,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3768,4430
EN100415,en,de,EN100415.source.en.txt,EN100415.translation.de.txt,1481d1357b58a4c40cfe9d8f9a1de3694868c0406a8361b1e97ab8690ce53ef8,f1045d7d18be10f59b958afb588812d9d84fef26c647e75a7e24f1c8fb51d568,e3c-de-full-246-google-tllm-v1-EN100415-f1045d7d18be,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1896,2288
EN100427,en,de,EN100427.source.en.txt,EN100427.translation.de.txt,4dfba471098113c6b5866a9181635f3ea9f5d739e8357e22b9cfaba8ce2ea780,81d3bde03860a5b44c0f4ce18d637b8a625c3f94dac6b0bab4fd77838091bf09,e3c-de-full-246-google-tllm-v1-EN100427-81d3bde03860,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3607,4156
EN100432,en,de,EN100432.source.en.txt,EN100432.translation.de.txt,8f960a79971d3a45c00b679a463d6bba84dbdd586a9a1d2e8e888adb62e616f2,5c0aa3fd25d2814040a175d1a959554b22ed5e15181c45a349e42fe872f0dc03,e3c-de-full-246-google-tllm-v1-EN100432-5c0aa3fd25d2,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2894,3550
EN100437,en,de,EN100437.source.en.txt,EN100437.translation.de.txt,2a69642c2b65da14568f1ce2511f77649d672f313bf3113599ed0ac37e2f0dd9,30b63741170e9dbbb6a6cec642e453fcf80f90d35900cf8faf9d98c4672ef51c,e3c-de-full-246-google-tllm-v1-EN100437-30b63741170e,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2102,2383
EN100453,en,de,EN100453.source.en.txt,EN100453.translation.de.txt,614148ade649bebedc5e38d361ef1bd49c2e4c353be24230d3c60c512b03deb5,d1f3925dd80e32c0a018ced8758764dd3e7767dd6369502f170da886780feb35,e3c-de-full-246-google-tllm-v1-EN100453-d1f3925dd80e,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1944,2295
EN100466,en,de,EN100466.source.en.txt,EN100466.translation.de.txt,dcc538c2fb1a9f6d0cfdd397a95451c39a1d70eea38dab449a884c3171c33297,3477f733ca35751bea6e35ada6ab174d0b9612e8ed50c1ef91f512e63efca33e,e3c-de-full-246-google-tllm-v1-EN100466-3477f733ca35,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2880,3596
EN100490,en,de,EN100490.source.en.txt,EN100490.translation.de.txt,af9f36e31454f0d790b94b72ed0bb7b0f5a213ff2ffb6eaaeafbc7b99f889a57,ef5e1bd2cc01864b7df4d75ca8a549b0fba97918335213f656ffaff320e14dc3,e3c-de-full-246-google-tllm-v1-EN100490-ef5e1bd2cc01,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3295,3863
EN100497,en,de,EN100497.source.en.txt,EN100497.translation.de.txt,64353460823072d7ebd537c845780bb0993ee7f6879826aa1f7f53a20d980087,45e4bef458b08b4bf50d45de16e9a6421ace2c4d577e00f6586b4f07ee344bcd,e3c-de-full-246-google-tllm-v1-EN100497-45e4bef458b0,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1913,2599
EN100506,en,de,EN100506.source.en.txt,EN100506.translation.de.txt,72815a53e4de97283fce91d518b48b09c54a63cf3e83d16157aae4c140a4a2c1,15b3d9ec30dcb269b31012cf7999a6046d6110c113ea1436e2a2e12043c200eb,e3c-de-full-246-google-tllm-v1-EN100506-15b3d9ec30dc,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2013,2342
EN100508,en,de,EN100508.source.en.txt,EN100508.translation.de.txt,07a0a35977f33f93a45c0faf3add065cf107ef59dc5cf3df2dc3684cc765ded2,6138da51a17d5781ed5606f3a3ff417cc2749239ed4878faa970a59978a0bc01,e3c-de-full-246-google-tllm-v1-EN100508-6138da51a17d,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1935,2193
EN100543,en,de,EN100543.source.en.txt,EN100543.translation.de.txt,43b1949294aadc76b31cf620f2b3a8eced9a279f2f14cd5cc574dedcdbeadd6e,ad5c0e88c2e0f060a75c6656bf6538a0af8a711facc1088601eb6cb4a6c87a4c,e3c-de-full-246-google-tllm-v1-EN100543-ad5c0e88c2e0,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3652,4306
EN100593,en,de,EN100593.source.en.txt,EN100593.translation.de.txt,b55fc650700a43db34d423b4cc48efaf8b054ff7a529e7fa4250f31682fe2882,3e5da36fa3ff055b6c9e6af8d02965b16123d97e50710631b1f0aaaf367a4572,e3c-de-full-246-google-tllm-v1-EN100593-3e5da36fa3ff,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2172,2794
EN100600,en,de,EN100600.source.en.txt,EN100600.translation.de.txt,c9498839723deccda1ca1ccfe28818015044cf80fac67ae19ec2b212d5876367,bbfc862b8aac811da7c32c2386eae7e5ccb33cff159e3ca814a2856eb229546e,e3c-de-full-246-google-tllm-v1-EN100600-bbfc862b8aac,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2094,2437
EN100605,en,de,EN100605.source.en.txt,EN100605.translation.de.txt,30822241830e6102036a3b1c583df193f8695e8d5119949fda3c5abfa5244ef2,6e22208daac2650739cec685fe93afb5ded270a7cbae74e885641e89634cc308,e3c-de-full-246-google-tllm-v1-EN100605-6e22208daac2,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2318,2696
EN100606,en,de,EN100606.source.en.txt,EN100606.translation.de.txt,0a32c5fe8da521f1ef8090520bee59cbfbca1deb6034705c82d5f47e982729c1,43e95c9a0654bc76755de9320663c7012e8f77504314221921afa8214fe37d5b,e3c-de-full-246-google-tllm-v1-EN100606-43e95c9a0654,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3388,4011
EN100645,en,de,EN100645.source.en.txt,EN100645.translation.de.txt,07a85d08ac0a0f4cdc918a79255690dd7d50fc99926ca2f243562d28f9375c25,555ac3ed56567c397889fd4a2866de0bf48516140be1851965f59ec84191748f,e3c-de-full-246-google-tllm-v1-EN100645-555ac3ed5656,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1916,2040
EN100653,en,de,EN100653.source.en.txt,EN100653.translation.de.txt,fdcb980111093ee2245c976fb6efcf3b786dadc57249a9aa1a3d8dec13efbbf3,f67a5a429e3be02079c734dee8ce02ac5fb8e60894245b0e526b245fe3938093,e3c-de-full-246-google-tllm-v1-EN100653-f67a5a429e3b,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3631,4344
EN100655,en,de,EN100655.source.en.txt,EN100655.translation.de.txt,772a08645287605062b431e8f003393fb5dbe4875dc50646c1fb56cec5da1ec6,6206cac1f008a376545f238a1cce0e259b763c6fcbae75d4e8d4ea54e0c0566e,e3c-de-full-246-google-tllm-v1-EN100655-6206cac1f008,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3414,3929
EN100658,en,de,EN100658.source.en.txt,EN100658.translation.de.txt,7456f82518e9fbc5b545c66b94265338c86c512f23616fa65b1ffd54b162cead,d8f69316366192e9d1331f169996239778fdf39d7327d1224f2cbb4c9412faea,e3c-de-full-246-google-tllm-v1-EN100658-d8f693163661,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3223,3771
EN100668,en,de,EN100668.source.en.txt,EN100668.translation.de.txt,b3b2e88616613d68cc82378c24e47cdfdc1c41d67f70e787631f2a4fc890c776,6da0cbe2db5994b229863e565734385ab3022b7b45e19b6855f0bc15cf33b5d5,e3c-de-full-246-google-tllm-v1-EN100668-6da0cbe2db59,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2988,3383
EN100682,en,de,EN100682.source.en.txt,EN100682.translation.de.txt,402f2daaed2fa5accb43c0e54fedd56392fa8e28b17ac574829959847d916c72,0d97b5b9c41f40388833971fe8fa2b1264703a5d402193c107f59f0476e07e9b,e3c-de-full-246-google-tllm-v1-EN100682-0d97b5b9c41f,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,2068,2392
EN100700,en,de,EN100700.source.en.txt,EN100700.translation.de.txt,8f4f98c5eeeb43af3cf287c64c47244c85bf978eea6e0e78033e17f8b83e90c0,64a23cc77bcf2196bd18d12230f59e31c106583ada6e979125884036c1947d99,e3c-de-full-246-google-tllm-v1-EN100700-64a23cc77bcf,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3265,3919
EN100705,en,de,EN100705.source.en.txt,EN100705.translation.de.txt,98ef222b75442b72981dbbb8be97b7663a7fedc1159a0538899d5001b209a31b,f58eac5f25fc421a0bf5ec44babff0b02b27e94d02ccec809d89df1c3fa2b909,e3c-de-full-246-google-tllm-v1-EN100705-f58eac5f25fc,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,3860,4510
EN101114,en,de,EN101114.source.en.txt,EN101114.translation.de.txt,ed798f8c6b75c4f78b303c1c0d430a3ae4135a488919b1822df78efb942035a1,a56c34885cd2a2b88bae543949cb42a300e851673885ff8c4c99b2bf138ed185,e3c-de-full-246-google-tllm-v1-EN101114-a56c34885cd2,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,735,886
EN101318,en,de,EN101318.source.en.txt,EN101318.translation.de.txt,9beb750b345365a13cf32d2f29d14c31086e910036ea50cee39567f86a706286,4bb9d9560b0a94190d72e266d2423c5ae7feb4c5da57e03bf1360a216faa4e53,e3c-de-full-246-google-tllm-v1-EN101318-4bb9d9560b0a,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,601,766
EN101783,en,de,EN101783.source.en.txt,EN101783.translation.de.txt,ee7b4085f07f2d15f2bd3c5fec064dfad2bb7915be874a5544b6cf0d46d023fd,17a126dddf3807f3aa97d194137bf9e3f84d98a21740c43b31edc0926c5b5f48,e3c-de-full-246-google-tllm-v1-EN101783-17a126dddf38,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,789,984
EN102305,en,de,EN102305.source.en.txt,EN102305.translation.de.txt,65a17cec78ee34e7d1c160378fa826d7e4fe53712f9caef479a7621b2ce93a51,d4eb56ad7a5a333439b93510973b609568ee7d809aacfd5763e6a297b6527844,e3c-de-full-246-google-tllm-v1-EN102305-d4eb56ad7a5a,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,812,967
EN103007,en,de,EN103007.source.en.txt,EN103007.translation.de.txt,7cff231d5a253f3d43f537ecec1cdd1080ad7841497259e11229e81032ad51f3,cd4dd0488a4aaa66ea530ccfb93e224d612da921532cf9b79da2f0317052b637,e3c-de-full-246-google-tllm-v1-EN103007-cd4dd0488a4a,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,669,884
EN103220,en,de,EN103220.source.en.txt,EN103220.translation.de.txt,ca49bcf3dd1a23cbf591b63b9143ca3181dbbd3cc3adad6eb76370019980273e,bd31305da4ee1f0d5312071a9253ee50260bb54f676b848f4cc6a3632fb68cba,e3c-de-full-246-google-tllm-v1-EN103220-bd31305da4ee,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,1253,1562
EN103266,en,de,EN103266.source.en.txt,EN103266.translation.de.txt,9cc56aa4a7ac18475034ce1f2845165107dc6927aa4b45186861904354b0f284,11231146d1f8fa4fbd3db72ca41e7cc4f1a3db36fe10529d0c918d667d646606,e3c-de-full-246-google-tllm-v1-EN103266-11231146d1f8,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,726,893
EN103442,en,de,EN103442.source.en.txt,EN103442.translation.de.txt,baf85e1972ad5f8c4ee1106280f24a46cb351c794f80e2d72564e5e837c827f2,95b6b11edb772dc6e98fcc78540fa515d03530fcbd669826884abd5292af2d01,e3c-de-full-246-google-tllm-v1-EN103442-95b6b11edb77,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,748,858
EN103589,en,de,EN103589.source.en.txt,EN103589.translation.de.txt,5e4894c85bb3eb3ea6f6be81f29af3c1fee1f05870570d06a9291bc0ec646cdd,29fcc15f9f42d6f2eed644271f2cc0898a7be534973440c3a25eaa49d51bf50a,e3c-de-full-246-google-tllm-v1-EN103589-29fcc15f9f42,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,879,1033
EN104179,en,de,EN104179.source.en.txt,EN104179.translation.de.txt,cac7cca31c9228ac744e6bef81ab77e1aec17a5a4d05244c0f8388806c5fce49,ca5f2ffcf7891e340134f50a214bfa94ddc0092352ef995e8bb80f866831a3bc,e3c-de-full-246-google-tllm-v1-EN104179-ca5f2ffcf789,automatic_check_failed,units_added,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,792,965
EN104184,en,de,EN104184.source.en.txt,EN104184.translation.de.txt,4b7eb14715159b7d25e356d04b05a31e3978b4e48af162f36a4eb4721b723686,a3999a53ecf65ae065b8c385561d1cade4354986d63199310952eeffbea1e1a7,e3c-de-full-246-google-tllm-v1-EN104184-a3999a53ecf6,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,612,747
EN104263,en,de,EN104263.source.en.txt,EN104263.translation.de.txt,0a7b200c399a9b10c78a8658d4542236a618e994f9cf55aede1eb38b1cc180a2,e9eb8816a14ab9f0ea3a9b24b0a0bb7e4b548427c754c0ff9d7fafda3af085aa,e3c-de-full-246-google-tllm-v1-EN104263-e9eb8816a14a,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,661,729
EN104655,en,de,EN104655.source.en.txt,EN104655.translation.de.txt,1eb9d4144280e72be2261bde698614755ddd63ce1b03a4addc5e476f43bd1be8,7997bc0b05051e99ca2ad47305175c107ba742d3500e87c4f3b93cfb406ca6af,e3c-de-full-246-google-tllm-v1-EN104655-7997bc0b0505,ready_for_review,,google-cloud-translation,v3,general/translation-llm,phentrieve,us-central1,2026-08-22T13:31:39.817340+00:00,795,1070
